"","species","mod_type","lambda_mean","lambda_ci.CI","lambda_ci.CI_low","lambda_ci.CI_high","alpha.gen_mean","alpha.gen_ci.CI","alpha.gen_ci.CI_low","alpha.gen_ci.CI_high","alpha.intra_mean","alpha.intra_ci.CI","alpha.intra_ci.CI_low","alpha.intra_ci.CI_high"
"1","KOBMYO","moist_cool",0.13393348636018,0.95,-0.454555448343521,1.30893866223016,0.00550055032221826,0.95,4.08089052771593e-06,0.0384027630901101,0.0132666065036452,0.95,4.93185853812954e-06,0.101706911585326
"2","KOBMYO","moist_warm",0.254984928776579,0.95,-0.340198577077254,1.33391238367198,0.00462434728626761,0.95,4.4927786577647e-06,0.0312979951367415,0.0434101690267544,0.95,7.84887490366322e-06,0.409095572323576
"3","KOBMYO","dry_warm",0.385319658969864,0.95,0.0562243583888098,0.834658181421228,0.00117953428222415,0.95,2.96504611501059e-06,0.00715209735916962,0.00692484093228729,0.95,0.000453604343129627,0.0175512509669044
"4","KOBMYO","dry_cool",0.1575794532675,0.95,-0.0121704577677947,0.480772501131551,0.000704449786306974,0.95,2.48646187548556e-06,0.00404244452600645,0.00265072578300174,0.95,1.62848911617858e-05,0.00843582307165079
"5","CAMROT","moist_cool",-0.00664180731936628,0.95,-2.03230073649525,2.0023455990571,0.182550101720778,0.95,6.82878965988797e-06,0.978606603060279,0.298774263307369,0.95,6.46978298542416e-06,0.838707195123563
"6","CAMROT","moist_warm",0.00092475559884527,0.95,-1.97622226538823,1.96946858981052,0.182978916648631,0.95,5.75198946729687e-06,0.910689977683478,0.235599249257341,0.95,7.1245394145207e-06,0.861149945396591
"7","CAMROT","dry_warm",-0.0663210707126576,0.95,-0.77363246825511,1.3290008449832,0.00877387723039018,0.95,4.87100162887819e-06,0.0614020228029655,0.0299125355773502,0.95,6.37795478745319e-06,0.268325489061438
"8","CAMROT","dry_cool",0.129875233206868,0.95,-0.509074000483901,1.32749889180504,0.00576731703297998,0.95,5.41673776155783e-06,0.0407570113518949,0.010135317534708,0.95,6.53070439846569e-06,0.0778525437357575
"9","ARCSCO","moist_cool",0.614321138365685,0.95,0.024075754182889,1.67812398228667,0.00966244399143345,0.95,2.8920950083032e-05,0.0410538613272595,0.0304623404957552,0.95,0.000490748291053172,0.112272553179189
"10","ARCSCO","moist_warm",0.344996556029411,0.95,0.135710931253165,0.691584349550122,0.000964559870655446,0.95,2.48371774525999e-06,0.00569134314702455,0.0291422584379662,0.95,0.0116081735217272,0.0536368964383023
"11","ARCSCO","dry_warm",-0.108563656142161,0.95,-0.844378043459474,1.72102731553289,0.0108565953179867,0.95,5.31210900507691e-06,0.101348535900106,0.0299853102467384,0.95,8.56269287131442e-06,0.234266014774927
"12","ARCSCO","dry_cool",0.0904011840346968,0.95,-0.632426462329386,1.57318361496614,0.00662190812669214,0.95,4.08656934783982e-06,0.0465076907886478,0.141697568196817,0.95,7.76550369820609e-06,1.30753214057018
"13","DESCES","moist_cool",0.972902623491945,0.95,0.273242253928662,1.94450705832664,0.0143656318052828,0.95,0.000218130291224947,0.0494130631482865,0.0261366510331242,0.95,0.00511863844530655,0.0784435782848042
"14","DESCES","moist_warm",0.21895617245846,0.95,0.00224850081195758,0.702161114728209,0.00189270449767481,0.95,4.45980019733356e-06,0.00938996600984291,0.00496857197627527,0.95,0.00034689599313032,0.0152556467687489
"15","DESCES","dry_warm",0.419261307670676,0.95,-0.141526815703529,1.49632100774877,0.00466214073760245,0.95,4.70901525271006e-06,0.0314534309843457,0.0394672574883989,0.95,8.6671549599655e-06,0.297091952533085
"16","DESCES","dry_cool",0.0224653607544835,0.95,-0.535604893631456,1.15294031283617,0.00470239997780071,0.95,4.42823365636112e-06,0.0354016981558365,0.0264488752972682,0.95,8.22471180447801e-06,0.190073248904438
"17","CHIJAM","moist_cool",0.269891091297927,0.95,-0.386810085698058,1.67425969539346,0.00973177468415859,0.95,7.84724961142027e-06,0.0642206555723271,0.0180550729690414,0.95,6.84134195124858e-06,0.146553802768508
"18","CHIJAM","moist_warm",-0.0915809860193056,0.95,-0.608380665670354,0.710263711545801,0.00225470478459018,0.95,3.48411525861822e-06,0.0151511557798891,0.0305796260815394,0.95,6.80316570453375e-06,0.270331797125665
"19","CHIJAM","dry_warm",-0.0081924368022081,0.95,-1.9677237961126,1.99075532864801,0.183925132688276,0.95,6.06404475015082e-06,1.09190727644156,0.218838728100393,0.95,6.71596719643945e-06,1.02516509238778
"20","CHIJAM","dry_cool",-0.00571129804583147,0.95,-1.95169538261243,1.93746450964311,0.30082840482406,0.95,5.19637441125383e-06,1.17800746500708,0.189452930884101,0.95,6.27434964253056e-06,0.852011774528121
"21","GEUROS","moist_cool",0.035302233567624,0.95,-0.0470093586883172,0.216886787177653,0.000939599534988573,0.95,4.31646690202064e-06,0.00363820620673499,0.000681299789518102,0.95,2.74519263005857e-06,0.00302857717308667
"22","GEUROS","moist_warm",0.127791220455251,0.95,0.0391398174748492,0.237692281534058,0.000236262876737579,0.95,1.39918567596852e-06,0.00130356570825731,0.0023235720492616,0.95,0.000381469175840191,0.00455796473140172
"23","GEUROS","dry_warm",0.3657726438377,0.95,-0.0447577333012194,1.21282019328162,0.00270099742886536,0.95,5.03002130892814e-06,0.0175728159810514,0.0394942592290356,0.95,0.000321424327577388,0.122965514675995
"24","GEUROS","dry_cool",0.525140771910917,0.95,0.185926840371505,1.17630187382448,0.00174165735119304,0.95,4.06607220583673e-06,0.0111505891829438,0.0660485544923393,0.95,0.0217007279713474,0.146310927873774
